East Asian Width が Ambiguous と定義されている JIS X 0208 由来の文字全て

JIS UNICODE {字}
----------------
212D U+00B4 {´}
212F U+00A8 {¨}
213D U+2015 {―}
213E U+2010 {‐}
2142 U+2225 {∥}
2144 U+2026 {…}
2145 U+2025 {‥}
2146 U+2018 {‘}
2147 U+2019 {’}
2148 U+201C {“}
2149 U+201D {”}
215E U+00B1 {±}
215F U+00D7 {×}
2160 U+00F7 {÷}
2162 U+2260 {≠}
2165 U+2266 {≦}
2166 U+2267 {≧}
2167 U+221E {∞}
2168 U+2234 {∴}
2169 U+2642 {♂}
216A U+2640 {♀}
216B U+00B0 {°}
216C U+2032 {′}
216D U+2033 {″}
216E U+2103 {℃}
2178 U+00A7 {§}
2179 U+2606 {☆}
217A U+2605 {★}
217B U+25CB {○}
217C U+25CF {●}
217D U+25CE {◎}
217E U+25C7 {◇}
2221 U+25C6 {◆}
2222 U+25A1 {□}
2223 U+25A0 {■}
2224 U+25B3 {△}
2225 U+25B2 {▲}
2226 U+25BD {▽}
2227 U+25BC {▼}
2228 U+203B {※}
222A U+2192 {→}
222B U+2190 {←}
222C U+2191 {↑}
222D U+2193 {↓}
223A U+2208 {∈}
223B U+220B {∋}
223C U+2286 {⊆}
223D U+2287 {⊇}
223E U+2282 {⊂}
223F U+2283 {⊃}
2240 U+222A {∪}
2241 U+2229 {∩}
224A U+2227 {∧}
224B U+2228 {∨}
224D U+21D2 {⇒}
224E U+21D4 {⇔}
224F U+2200 {∀}
2250 U+2203 {∃}
225C U+2220 {∠}
225D U+22A5 {⊥}
225E U+2312 {⌒}
225F U+2202 {∂}
2260 U+2207 {∇}
2261 U+2261 {≡}
2262 U+2252 {≒}
2263 U+226A {≪}
2264 U+226B {≫}
2265 U+221A {√}
2266 U+223D {∽}
2267 U+221D {∝}
2268 U+2235 {∵}
2269 U+222B {∫}
226A U+222C {∬}
2272 U+212B {Å}
2273 U+2030 {‰}
2274 U+266F {♯}
2275 U+266D {♭}
2276 U+266A {♪}
2277 U+2020 {†}
2278 U+2021 {‡}
2279 U+00B6 {¶}
227E U+25EF {◯}
2621 U+0391 {Α}
2622 U+0392 {Β}
2623 U+0393 {Γ}
2624 U+0394 {Δ}
2625 U+0395 {Ε}
2626 U+0396 {Ζ}
2627 U+0397 {Η}
2628 U+0398 {Θ}
2629 U+0399 {Ι}
262A U+039A {Κ}
262B U+039B {Λ}
262C U+039C {Μ}
262D U+039D {Ν}
262E U+039E {Ξ}
262F U+039F {Ο}
2630 U+03A0 {Π}
2631 U+03A1 {Ρ}
2632 U+03A3 {Σ}
2633 U+03A4 {Τ}
2634 U+03A5 {Υ}
2635 U+03A6 {Φ}
2636 U+03A7 {Χ}
2637 U+03A8 {Ψ}
2638 U+03A9 {Ω}
2641 U+03B1 {α}
2642 U+03B2 {β}
2643 U+03B3 {γ}
2644 U+03B4 {δ}
2645 U+03B5 {ε}
2646 U+03B6 {ζ}
2647 U+03B7 {η}
2648 U+03B8 {θ}
2649 U+03B9 {ι}
264A U+03BA {κ}
264B U+03BB {λ}
264C U+03BC {μ}
264D U+03BD {ν}
264E U+03BE {ξ}
264F U+03BF {ο}
2650 U+03C0 {π}
2651 U+03C1 {ρ}
2652 U+03C3 {σ}
2653 U+03C4 {τ}
2654 U+03C5 {υ}
2655 U+03C6 {φ}
2656 U+03C7 {χ}
2657 U+03C8 {ψ}
2658 U+03C9 {ω}
2721 U+0410 {А}
2722 U+0411 {Б}
2723 U+0412 {В}
2724 U+0413 {Г}
2725 U+0414 {Д}
2726 U+0415 {Е}
2727 U+0401 {Ё}
2728 U+0416 {Ж}
2729 U+0417 {З}
272A U+0418 {И}
272B U+0419 {Й}
272C U+041A {К}
272D U+041B {Л}
272E U+041C {М}
272F U+041D {Н}
2730 U+041E {О}
2731 U+041F {П}
2732 U+0420 {Р}
2733 U+0421 {С}
2734 U+0422 {Т}
2735 U+0423 {У}
2736 U+0424 {Ф}
2737 U+0425 {Х}
2738 U+0426 {Ц}
2739 U+0427 {Ч}
273A U+0428 {Ш}
273B U+0429 {Щ}
273C U+042A {Ъ}
273D U+042B {Ы}
273E U+042C {Ь}
273F U+042D {Э}
2740 U+042E {Ю}
2741 U+042F {Я}
2751 U+0430 {а}
2752 U+0431 {б}
2753 U+0432 {в}
2754 U+0433 {г}
2755 U+0434 {д}
2756 U+0435 {е}
2757 U+0451 {ё}
2758 U+0436 {ж}
2759 U+0437 {з}
275A U+0438 {и}
275B U+0439 {й}
275C U+043A {к}
275D U+043B {л}
275E U+043C {м}
275F U+043D {н}
2760 U+043E {о}
2761 U+043F {п}
2762 U+0440 {р}
2763 U+0441 {с}
2764 U+0442 {т}
2765 U+0443 {у}
2766 U+0444 {ф}
2767 U+0445 {х}
2768 U+0446 {ц}
2769 U+0447 {ч}
276A U+0448 {ш}
276B U+0449 {щ}
276C U+044A {ъ}
276D U+044B {ы}
276E U+044C {ь}
276F U+044D {э}
2770 U+044E {ю}
2771 U+044F {я}
2821 U+2500 {─}
2822 U+2502 {│}
2823 U+250C {┌}
2824 U+2510 {┐}
2825 U+2518 {┘}
2826 U+2514 {└}
2827 U+251C {├}
2828 U+252C {┬}
2829 U+2524 {┤}
282A U+2534 {┴}
282B U+253C {┼}
282C U+2501 {━}
282D U+2503 {┃}
282E U+250F {┏}
282F U+2513 {┓}
2830 U+251B {┛}
2831 U+2517 {┗}
2832 U+2523 {┣}
2833 U+2533 {┳}
2834 U+252B {┫}
2835 U+253B {┻}
2836 U+254B {╋}
2837 U+2520 {┠}
2838 U+252F {┯}
2839 U+2528 {┨}
283A U+2537 {┷}
283B U+253F {┿}
283C U+251D {┝}
283D U+2530 {┰}
283E U+2525 {┥}
283F U+2538 {┸}
2840 U+2542 {╂}
