JIS X 0208 由来の Unicode 文字全部


Unicode® Standard Annex #11
East Asian Width
http://www.unicode.org/reports/tr11/


属性		意味
--------------------------------
F   Fullwidth	常に全角 (2 幅)
H   Halfwidth	常に半角 (1 幅)
W   Wide	全角で表示される
Na  Narrow	半角で表示される
A   Ambiguous	環境依存
N   Neutral	幅の概念がない


JIS UNICODE 属{字}
------------------
2121 U+3000 F {　}
2122 U+3001 W {、}
2123 U+3002 W {。}
2124 U+FF0C F {，}
2125 U+FF0E F {．}
2126 U+30FB W {・}
2127 U+FF1A F {：}
2128 U+FF1B F {；}
2129 U+FF1F F {？}
212A U+FF01 F {！}
212B U+309B W {゛}
212C U+309C W {゜}
212D U+00B4 A {´}
212E U+FF40 F {｀}
212F U+00A8 A {¨}
2130 U+FF3E F {＾}
2131 U+FFE3 F {￣}
2132 U+FF3F F {＿}
2133 U+30FD W {ヽ}
2134 U+30FE W {ヾ}
2135 U+309D W {ゝ}
2136 U+309E W {ゞ}
2137 U+3003 W {〃}
2138 U+4EDD W {仝}
2139 U+3005 W {々}
213A U+3006 W {〆}
213B U+3007 W {〇}
213C U+30FC W {ー}
213D U+2015 A {―}
213E U+2010 A {‐}
213F U+FF0F F {／}
2140 U+FF3C F {＼}
2141 U+FF5E F {～}
2142 U+2225 A {∥}
2143 U+FF5C F {｜}
2144 U+2026 A {…}
2145 U+2025 A {‥}
2146 U+2018 A {‘}
2147 U+2019 A {’}
2148 U+201C A {“}
2149 U+201D A {”}
214A U+FF08 F {（}
214B U+FF09 F {）}
214C U+3014 W {〔}
214D U+3015 W {〕}
214E U+FF3B F {［}
214F U+FF3D F {］}
2150 U+FF5B F {｛}
2151 U+FF5D F {｝}
2152 U+3008 W {〈}
2153 U+3009 W {〉}
2154 U+300A W {《}
2155 U+300B W {》}
2156 U+300C W {「}
2157 U+300D W {」}
2158 U+300E W {『}
2159 U+300F W {』}
215A U+3010 W {【}
215B U+3011 W {】}
215C U+FF0B F {＋}
215D U+FF0D F {－}
215E U+00B1 A {±}
215F U+00D7 A {×}
2160 U+00F7 A {÷}
2161 U+FF1D F {＝}
2162 U+2260 A {≠}
2163 U+FF1C F {＜}
2164 U+FF1E F {＞}
2165 U+2266 A {≦}
2166 U+2267 A {≧}
2167 U+221E A {∞}
2168 U+2234 A {∴}
2169 U+2642 A {♂}
216A U+2640 A {♀}
216B U+00B0 A {°}
216C U+2032 A {′}
216D U+2033 A {″}
216E U+2103 A {℃}
216F U+FFE5 F {￥}
2170 U+FF04 F {＄}
2171 U+FFE0 F {￠}
2172 U+FFE1 F {￡}
2173 U+FF05 F {％}
2174 U+FF03 F {＃}
2175 U+FF06 F {＆}
2176 U+FF0A F {＊}
2177 U+FF20 F {＠}
2178 U+00A7 A {§}
2179 U+2606 A {☆}
217A U+2605 A {★}
217B U+25CB A {○}
217C U+25CF A {●}
217D U+25CE A {◎}
217E U+25C7 A {◇}
2221 U+25C6 A {◆}
2222 U+25A1 A {□}
2223 U+25A0 A {■}
2224 U+25B3 A {△}
2225 U+25B2 A {▲}
2226 U+25BD A {▽}
2227 U+25BC A {▼}
2228 U+203B A {※}
2229 U+3012 W {〒}
222A U+2192 A {→}
222B U+2190 A {←}
222C U+2191 A {↑}
222D U+2193 A {↓}
222E U+3013 W {〓}
223A U+2208 A {∈}
223B U+220B A {∋}
223C U+2286 A {⊆}
223D U+2287 A {⊇}
223E U+2282 A {⊂}
